Order_ID,Customer_ID,Order_Time,Day_of_Week,Weather_Condition,Temperature_C,Menu_Item,Category,Price,Delivery_Time_Minutes,Dine_In_or_Takeaway,Customer_Satisfaction_Rating,Total_Orders_Per_Hour,Staff_On_Duty,Table_Occupancy_Rate,Kitchen_Preparation_Time_Minutes,Total_Revenue,Peak_Hours,Promotions_Applied,Delivery_Platform_Used,Online_vs_Walkin,Holiday_or_Event
30031,277,2024-01-02 06:00:00,Tuesday,Sunny,17,Dessert,Dinner,13.9,30,Dine-in,1,34,5,66,19,440.73,Yes,No,UberEats,Online,No
30032,1185,2024-01-02 07:00:00,Tuesday,Sunny,26,Dessert,Dessert,24.79,31,Dine-in,4,7,8,84,20,171.57,No,Yes,Zomato,Online,No
30033,460,2024-01-02 08:00:00,Tuesday,Snowy,25,Pasta,Lunch,35.4,17,Takeaway,4,15,8,51,28,404.35,No,Yes,Swiggy,Walk-in,No
30034,1338,2024-01-02 09:00:00,Tuesday,Sunny,19,Sushi,Lunch,19.33,20,Takeaway,5,14,8,96,28,186.59,No,No,Swiggy,Online,No
30035,22,2024-01-02 10:00:00,Tuesday,Rainy,15,Burger,Dinner,10.12,52,Dine-in,2,7,9,80,5,174.17,No,No,Swiggy,Online,Yes
30036,253,2024-01-02 11:00:00,Tuesday,Sunny,30,Dessert,Lunch,32.69,21,Dine-in,2,45,3,75,15,944.21,Yes,Yes,Zomato,Online,No
30037,748,2024-01-02 12:00:00,Tuesday,Sunny,18,Pizza,Dessert,15.09,57,Dine-in,2,9,13,80,10,198.77,No,No,UberEats,Walk-in,No
30038,857,2024-01-02 13:00:00,Tuesday,Rainy,15,Steak,Breakfast,35.67,48,Takeaway,4,19,3,57,16,546.83,No,Yes,Zomato,Walk-in,No
30039,1585,2024-01-02 14:00:00,Tuesday,Sunny,6,Sushi,Lunch,42.78,36,Takeaway,1,10,7,65,23,107.31,No,No,Zomato,Walk-in,No
30040,475,2024-01-02 15:00:00,Tuesday,Sunny,6,Burger,Beverage,10.55,44,Dine-in,4,8,12,61,5,182.21,No,Yes,UberEats,Walk-in,No
30041,1083,2024-01-02 16:00:00,Tuesday,Sunny,33,Salad,Dessert,24.69,11,Delivery,2,27,7,68,25,314.01,No,No,Swiggy,Walk-in,No
30042,511,2024-01-02 17:00:00,Tuesday,Rainy,16,Burger,Dessert,25.02,44,Delivery,5,49,6,93,6,1263.79,Yes,No,Zomato,Online,No
30043,1706,2024-01-02 18:00:00,Tuesday,Cloudy,19,Steak,Dinner,33.46,40,Delivery,4,5,3,62,26,139.61,No,Yes,Zomato,Online,No
30044,1500,2024-01-02 19:00:00,Tuesday,Cloudy,21,Steak,Dinner,20.05,17,Delivery,4,38,9,50,24,445.76,Yes,Yes,UberEats,Walk-in,No
30045,700,2024-01-02 20:00:00,Tuesday,Sunny,18,Burger,Breakfast,23.84,29,Delivery,4,19,4,62,16,199.82,No,Yes,UberEats,Walk-in,No
30046,976,2024-01-02 21:00:00,Tuesday,Sunny,29,Salad,Lunch,5.54,17,Dine-in,1,8,2,53,28,232.91,No,No,None,Online,Yes
30047,1807,2024-01-02 22:00:00,Tuesday,Sunny,20,Dessert,Beverage,10.51,13,Dine-in,5,31,2,94,5,884.45,Yes,Yes,None,Walk-in,No
30048,190,2024-01-02 23:00:00,Tuesday,Snowy,31,Steak,Breakfast,30.64,40,Delivery,5,17,13,97,11,484.07,No,No,None,Online,No
30049,958,2024-01-03 00:00:00,Wednesday,Sunny,12,Salad,Beverage,14.72,41,Dine-in,5,44,8,80,14,1266.92,Yes,No,Zomato,Online,No
30050,687,2024-01-03 01:00:00,Wednesday,Cloudy,28,Pizza,Dessert,11.51,22,Dine-in,5,36,8,57,26,720.07,Yes,No,None,Walk-in,No
30051,958,2024-01-03 02:00:00,Wednesday,Sunny,21,Sushi,Dessert,19.6,31,Dine-in,2,13,7,76,20,383.99,No,No,Zomato,Walk-in,No
30052,563,2024-01-03 03:00:00,Wednesday,Cloudy,9,Steak,Lunch,12.36,35,Takeaway,4,41,7,57,19,1141.7,Yes,No,UberEats,Online,No
30053,1900,2024-01-03 04:00:00,Wednesday,Snowy,16,Burger,Beverage,7.68,26,Dine-in,5,29,6,73,13,346.64,No,No,Zomato,Online,No
30054,1591,2024-01-03 05:00:00,Wednesday,Snowy,10,Dessert,Dessert,17.77,38,Dine-in,3,7,13,71,18,183.78,No,Yes,UberEats,Walk-in,No
30055,1268,2024-01-03 06:00:00,Wednesday,Sunny,22,Pasta,Breakfast,12.4,36,Takeaway,3,43,7,89,8,1042.7,Yes,No,Swiggy,Online,No
30056,832,2024-01-03 07:00:00,Wednesday,Sunny,30,Pasta,Lunch,40.97,31,Delivery,2,44,3,78,10,558.01,Yes,Yes,UberEats,Walk-in,No
30057,1529,2024-01-03 08:00:00,Wednesday,Sunny,9,Coffee,Breakfast,7.82,27,Dine-in,3,20,6,58,19,495.17,No,No,Zomato,Walk-in,No
30058,1155,2024-01-03 09:00:00,Wednesday,Sunny,10,Pizza,Lunch,38.63,14,Takeaway,3,21,3,66,27,413.67,No,No,None,Walk-in,No
30059,1509,2024-01-03 10:00:00,Wednesday,Sunny,13,Pasta,Lunch,22.23,21,Dine-in,3,31,4,50,12,839.37,Yes,No,None,Walk-in,No
30060,1843,2024-01-03 11:00:00,Wednesday,Sunny,19,Pizza,Breakfast,35.39,11,Dine-in,2,14,6,93,14,369.26,No,Yes,Zomato,Online,No
30061,647,2024-01-03 12:00:00,Wednesday,Sunny,14,Dessert,Dinner,7.37,51,Dine-in,4,5,2,81,11,144.23,No,No,UberEats,Walk-in,No
30062,21,2024-01-03 13:00:00,Wednesday,Rainy,21,Sushi,Dinner,46.43,16,Delivery,2,33,12,69,27,379.68,Yes,No,Zomato,Walk-in,No
30063,841,2024-01-03 14:00:00,Wednesday,Rainy,33,Coffee,Breakfast,39.53,56,Delivery,1,22,4,50,26,532.51,No,No,None,Online,No
30064,167,2024-01-03 15:00:00,Wednesday,Sunny,30,Pizza,Dinner,11.31,35,Takeaway,1,36,11,74,26,631.49,Yes,Yes,UberEats,Online,No
30065,1298,2024-01-03 16:00:00,Wednesday,Cloudy,23,Salad,Lunch,14.85,48,Dine-in,3,41,13,90,21,1046.31,Yes,No,UberEats,Walk-in,No
30066,388,2024-01-03 17:00:00,Wednesday,Sunny,16,Salad,Dessert,33.98,24,Takeaway,3,47,7,76,29,1036.41,Yes,No,None,Online,No
30067,601,2024-01-03 18:00:00,Wednesday,Sunny,13,Coffee,Dinner,46.47,57,Dine-in,4,37,3,72,17,736.73,Yes,Yes,Zomato,Walk-in,No
30068,316,2024-01-03 19:00:00,Wednesday,Sunny,19,Dessert,Dessert,25.06,42,Dine-in,3,26,4,67,12,262.2,No,Yes,None,Walk-in,No
30069,14,2024-01-03 20:00:00,Wednesday,Snowy,18,Dessert,Breakfast,26.85,56,Takeaway,1,47,14,80,29,1040.74,Yes,No,Swiggy,Walk-in,No
30070,242,2024-01-03 21:00:00,Wednesday,Sunny,5,Salad,Breakfast,15.7,12,Takeaway,3,15,10,77,15,276.11,No,No,UberEats,Online,No
30071,777,2024-01-03 22:00:00,Wednesday,Sunny,21,Steak,Lunch,22.24,51,Delivery,4,41,9,91,5,682.67,Yes,No,Swiggy,Walk-in,Yes
30072,1370,2024-01-03 23:00:00,Wednesday,Rainy,5,Salad,Breakfast,17.87,57,Takeaway,1,33,4,70,10,982.59,Yes,Yes,UberEats,Walk-in,No
30073,565,2024-01-04 00:00:00,Thursday,Sunny,27,Salad,Beverage,20.78,11,Delivery,3,24,8,61,10,576.18,No,Yes,UberEats,Online,No
30074,898,2024-01-04 01:00:00,Thursday,Rainy,33,Dessert,Breakfast,5.93,26,Dine-in,4,26,13,86,13,540.74,No,No,Zomato,Walk-in,No
30075,1364,2024-01-04 02:00:00,Thursday,Cloudy,25,Salad,Dinner,6.85,10,Dine-in,4,36,5,73,6,985.48,Yes,Yes,Zomato,Walk-in,No
30076,92,2024-01-04 03:00:00,Thursday,Cloudy,26,Salad,Dessert,35.63,45,Delivery,1,12,8,88,21,174.5,No,No,Zomato,Online,No
30077,1391,2024-01-04 04:00:00,Thursday,Sunny,17,Steak,Dessert,35.68,52,Dine-in,1,26,6,98,6,582.35,No,No,Zomato,Online,No
30078,956,2024-01-04 05:00:00,Thursday,Sunny,34,Salad,Dessert,19.86,26,Dine-in,1,19,13,82,26,517.15,No,No,Swiggy,Online,No
30079,1479,2024-01-04 06:00:00,Thursday,Sunny,12,Salad,Breakfast,44.85,11,Takeaway,4,39,14,66,11,486.4,Yes,Yes,Zomato,Walk-in,No
30080,1452,2024-01-04 07:00:00,Thursday,Sunny,34,Sushi,Dinner,16.98,42,Delivery,1,20,13,82,27,294.44,No,Yes,Swiggy,Walk-in,No
30081,509,2024-01-04 08:00:00,Thursday,Sunny,17,Dessert,Breakfast,22.81,38,Dine-in,1,48,3,65,23,559.33,Yes,Yes,Zomato,Walk-in,No
30082,776,2024-01-04 09:00:00,Thursday,Sunny,20,Dessert,Breakfast,37.91,15,Dine-in,4,33,7,76,24,985.01,Yes,No,Zomato,Online,No
30083,1967,2024-01-04 10:00:00,Thursday,Cloudy,6,Steak,Beverage,38.46,52,Takeaway,4,38,2,90,7,821.49,Yes,Yes,Zomato,Online,No
30084,35,2024-01-04 11:00:00,Thursday,Cloudy,17,Salad,Breakfast,43.75,45,Takeaway,1,24,7,77,15,474.95,No,No,Zomato,Online,No
30085,206,2024-01-04 12:00:00,Thursday,Sunny,22,Pizza,Lunch,6.31,33,Delivery,1,17,2,85,17,285.07,No,No,Zomato,Walk-in,No
30086,1105,2024-01-04 13:00:00,Thursday,Sunny,7,Coffee,Dinner,13.27,20,Takeaway,1,17,4,56,20,322.81,No,Yes,Zomato,Walk-in,No
30087,1956,2024-01-04 14:00:00,Thursday,Sunny,17,Dessert,Breakfast,33.83,14,Dine-in,4,35,12,83,13,893.1,Yes,No,None,Walk-in,No
30088,1586,2024-01-04 15:00:00,Thursday,Sunny,23,Sushi,Breakfast,20.22,39,Takeaway,5,25,11,95,23,708.36,No,No,Zomato,Online,No
30089,1896,2024-01-04 16:00:00,Thursday,Rainy,17,Steak,Lunch,6.96,19,Dine-in,2,34,8,50,16,411.36,Yes,No,UberEats,Walk-in,No
30090,1412,2024-01-04 17:00:00,Thursday,Rainy,23,Pasta,Dinner,31.39,46,Dine-in,3,29,3,53,20,463.79,No,No,Swiggy,Walk-in,No
30091,1026,2024-01-04 18:00:00,Thursday,Snowy,8,Burger,Beverage,22.69,36,Dine-in,2,34,10,75,26,468.61,Yes,No,Zomato,Walk-in,No
30092,1022,2024-01-04 19:00:00,Thursday,Rainy,23,Steak,Dinner,21.38,36,Dine-in,4,14,4,69,10,261.94,No,No,Zomato,Online,No
30093,1414,2024-01-04 20:00:00,Thursday,Sunny,22,Coffee,Dinner,16.9,33,Dine-in,5,11,4,62,9,226.71,No,Yes,Swiggy,Walk-in,Yes
30094,566,2024-01-04 21:00:00,Thursday,Rainy,29,Sushi,Lunch,5.27,12,Dine-in,4,38,8,84,9,928.17,Yes,No,UberEats,Walk-in,No
30095,1130,2024-01-04 22:00:00,Thursday,Sunny,10,Salad,Lunch,13.21,47,Takeaway,1,8,2,59,15,220.11,No,No,Swiggy,Walk-in,No
30096,1796,2024-01-04 23:00:00,Thursday,Sunny,23,Sushi,Dinner,26.34,35,Dine-in,3,26,6,57,18,541.91,No,No,Swiggy,Online,No
30097,1846,2024-01-05 00:00:00,Friday,Sunny,29,Burger,Dinner,17.41,54,Dine-in,2,33,11,67,28,652.59,Yes,No,UberEats,Walk-in,Yes
30098,1501,2024-01-05 01:00:00,Friday,Sunny,8,Burger,Lunch,44.35,57,Takeaway,4,8,4,66,18,172.12,No,Yes,None,Walk-in,No
30099,703,2024-01-05 02:00:00,Friday,Sunny,8,Steak,Dessert,11.43,48,Dine-in,5,5,2,54,13,138.84,No,Yes,UberEats,Online,No
30100,402,2024-01-05 03:00:00,Friday,Sunny,28,Salad,Lunch,44.39,27,Takeaway,1,27,8,79,12,620.21,No,No,Swiggy,Online,No
30101,730,2024-01-05 04:00:00,Friday,Cloudy,11,Salad,Dinner,23.22,12,Takeaway,5,27,11,80,28,695.18,No,No,Zomato,Walk-in,No
30102,1580,2024-01-05 05:00:00,Friday,Sunny,11,Pizza,Beverage,17.41,47,Delivery,3,10,8,88,15,243.9,No,No,Swiggy,Online,No
30103,162,2024-01-05 06:00:00,Friday,Sunny,30,Burger,Dessert,18.69,51,Dine-in,5,9,10,73,14,256.23,No,No,UberEats,Walk-in,No
30104,202,2024-01-05 07:00:00,Friday,Sunny,27,Salad,Dinner,19.85,57,Takeaway,5,27,8,66,23,711.15,No,No,UberEats,Online,No
30105,1982,2024-01-05 08:00:00,Friday,Rainy,30,Burger,Dinner,27.8,34,Takeaway,1,42,14,83,26,706.61,Yes,Yes,Zomato,Online,No
30106,996,2024-01-05 09:00:00,Friday,Sunny,20,Dessert,Dinner,20.92,22,Takeaway,5,11,5,92,29,297.96,No,No,Swiggy,Walk-in,No
30107,270,2024-01-05 10:00:00,Friday,Cloudy,31,Pizza,Dessert,34.12,34,Delivery,1,9,4,84,25,174.14,No,No,Swiggy,Walk-in,Yes
30108,1887,2024-01-05 11:00:00,Friday,Snowy,20,Pasta,Dessert,24.13,33,Takeaway,3,37,7,64,24,996.94,Yes,No,None,Walk-in,Yes
30109,816,2024-01-05 12:00:00,Friday,Sunny,9,Burger,Breakfast,35.22,50,Dine-in,4,30,7,60,29,843.45,No,Yes,Zomato,Online,No
30110,1295,2024-01-05 13:00:00,Friday,Rainy,19,Dessert,Breakfast,32.2,25,Takeaway,1,25,3,83,20,592.63,No,No,Zomato,Online,Yes
30111,456,2024-01-05 14:00:00,Friday,Sunny,27,Dessert,Dessert,16.0,52,Delivery,4,38,8,57,9,926.35,Yes,Yes,Zomato,Walk-in,No
30112,1486,2024-01-05 15:00:00,Friday,Sunny,8,Dessert,Lunch,41.57,50,Delivery,2,30,2,64,10,384.67,No,No,UberEats,Walk-in,No
30113,1751,2024-01-05 16:00:00,Friday,Rainy,28,Pizza,Lunch,40.95,51,Delivery,5,14,10,85,15,230.68,No,Yes,UberEats,Walk-in,No
30114,1276,2024-01-05 17:00:00,Friday,Sunny,29,Pizza,Lunch,49.5,20,Dine-in,4,6,3,86,15,126.93,No,No,Zomato,Walk-in,No
30115,1017,2024-01-05 18:00:00,Friday,Sunny,17,Coffee,Dinner,12.88,30,Dine-in,5,24,4,72,20,241.69,No,No,None,Walk-in,No
30116,1726,2024-01-05 19:00:00,Friday,Sunny,32,Pizza,Lunch,43.15,40,Dine-in,1,18,7,88,27,485.02,No,No,UberEats,Online,No
30117,296,2024-01-05 20:00:00,Friday,Sunny,23,Sushi,Beverage,44.24,24,Dine-in,5,11,12,75,12,191.29,No,No,Swiggy,Walk-in,No
30118,1749,2024-01-05 21:00:00,Friday,Cloudy,11,Steak,Lunch,33.9,54,Dine-in,3,14,8,83,23,342.55,No,No,Zomato,Walk-in,No
30119,720,2024-01-05 22:00:00,Friday,Sunny,16,Salad,Breakfast,27.79,58,Delivery,4,35,2,60,5,888.51,Yes,Yes,UberEats,Online,No
30120,1773,2024-01-05 23:00:00,Friday,Rainy,30,Burger,Lunch,48.08,45,Takeaway,5,12,4,61,25,251.54,No,No,UberEats,Online,No
30121,338,2024-01-06 00:00:00,Saturday,Sunny,13,Steak,Dessert,48.77,52,Takeaway,4,5,7,57,13,129.02,No,Yes,Swiggy,Online,No
30122,879,2024-01-06 01:00:00,Saturday,Rainy,21,Sushi,Dinner,33.88,10,Dine-in,4,33,5,95,18,780.39,Yes,No,UberEats,Online,No
30123,1077,2024-01-06 02:00:00,Saturday,Sunny,6,Burger,Breakfast,21.18,37,Dine-in,3,35,6,57,29,601.89,Yes,No,None,Walk-in,No
30124,792,2024-01-06 03:00:00,Saturday,Sunny,20,Steak,Beverage,41.77,42,Takeaway,1,12,14,90,24,315.88,No,No,Zomato,Walk-in,No
30125,1946,2024-01-06 04:00:00,Saturday,Snowy,11,Sushi,Lunch,9.02,12,Takeaway,5,20,13,54,7,454.42,No,No,UberEats,Online,No
30126,217,2024-01-06 05:00:00,Saturday,Sunny,33,Dessert,Dessert,18.08,24,Takeaway,2,23,4,94,9,303.69,No,No,Swiggy,Online,No
30127,764,2024-01-06 06:00:00,Saturday,Sunny,22,Salad,Lunch,49.35,42,Dine-in,4,30,9,59,6,763.69,No,No,UberEats,Walk-in,No
30128,188,2024-01-06 07:00:00,Saturday,Sunny,11,Pizza,Lunch,41.65,41,Dine-in,1,14,2,52,22,329.33,No,Yes,None,Walk-in,No
30129,380,2024-01-06 08:00:00,Saturday,Rainy,5,Steak,Beverage,47.28,32,Dine-in,2,22,12,92,26,345.25,No,No,UberEats,Online,No
30130,493,2024-01-06 09:00:00,Saturday,Sunny,7,Dessert,Lunch,31.77,35,Dine-in,4,6,11,86,25,161.04,No,No,None,Online,No
30131,1065,2024-01-06 10:00:00,Saturday,Cloudy,25,Steak,Dinner,23.35,57,Takeaway,2,41,8,71,29,716.69,Yes,No,Zomato,Walk-in,Yes
30132,1181,2024-01-06 11:00:00,Saturday,Sunny,34,Dessert,Breakfast,49.09,26,Dine-in,5,33,3,74,17,694.81,Yes,No,Swiggy,Online,No
30133,15,2024-01-06 12:00:00,Saturday,Sunny,32,Burger,Dessert,18.92,18,Delivery,5,6,9,53,8,101.18,No,No,UberEats,Online,No
30134,1837,2024-01-06 13:00:00,Saturday,Rainy,34,Pizza,Dessert,39.08,14,Takeaway,4,7,4,86,21,171.41,No,Yes,UberEats,Online,No
30135,65,2024-01-06 14:00:00,Saturday,Rainy,15,Coffee,Beverage,30.12,38,Takeaway,4,28,5,57,18,605.46,No,Yes,UberEats,Online,No
30136,1881,2024-01-06 15:00:00,Saturday,Snowy,26,Salad,Lunch,15.28,15,Dine-in,5,13,3,79,16,252.28,No,No,UberEats,Online,No
30137,1863,2024-01-06 16:00:00,Saturday,Cloudy,19,Dessert,Dinner,5.79,56,Dine-in,1,47,6,58,14,489.1,Yes,No,UberEats,Online,Yes
30138,521,2024-01-06 17:00:00,Saturday,Sunny,33,Burger,Lunch,22.27,50,Takeaway,2,18,10,64,26,398.59,No,No,None,Online,No
30139,1368,2024-01-06 18:00:00,Saturday,Sunny,29,Pasta,Breakfast,29.65,44,Delivery,4,47,5,50,28,1055.01,Yes,No,Swiggy,Walk-in,No
30140,1153,2024-01-06 19:00:00,Saturday,Sunny,29,Pasta,Lunch,13.24,30,Dine-in,4,15,8,93,19,204.37,No,No,Zomato,Online,No
30141,648,2024-01-06 20:00:00,Saturday,Rainy,7,Pasta,Lunch,23.65,54,Takeaway,3,47,9,62,11,782.37,Yes,No,Zomato,Online,Yes
30142,1496,2024-01-06 21:00:00,Saturday,Snowy,34,Salad,Breakfast,32.68,54,Dine-in,2,28,11,53,7,772.12,No,Yes,Swiggy,Walk-in,No
30143,1087,2024-01-06 22:00:00,Saturday,Sunny,28,Dessert,Breakfast,37.17,32,Takeaway,5,18,2,65,24,377.7,No,Yes,None,Walk-in,No
30144,1163,2024-01-06 23:00:00,Saturday,Sunny,17,Pasta,Dinner,7.37,44,Takeaway,4,22,7,93,15,411.44,No,No,Zomato,Walk-in,No
30145,1523,2024-01-07 00:00:00,Sunday,Sunny,8,Steak,Dinner,34.89,55,Dine-in,4,40,6,96,17,1148.77,Yes,No,Swiggy,Walk-in,No
30146,593,2024-01-07 01:00:00,Sunday,Snowy,27,Coffee,Dinner,7.55,11,Takeaway,5,17,11,50,25,446.06,No,Yes,Zomato,Walk-in,No
30147,392,2024-01-07 02:00:00,Sunday,Sunny,26,Burger,Beverage,6.27,51,Delivery,2,38,11,63,7,454.08,Yes,No,None,Online,No
30148,1699,2024-01-07 03:00:00,Sunday,Sunny,12,Coffee,Beverage,11.86,18,Takeaway,1,23,2,76,17,625.11,No,No,Swiggy,Walk-in,No
30149,419,2024-01-07 04:00:00,Sunday,Sunny,26,Coffee,Dinner,34.41,22,Dine-in,5,45,10,75,12,584.76,Yes,Yes,Swiggy,Walk-in,No
30150,289,2024-01-07 05:00:00,Sunday,Snowy,8,Coffee,Dinner,7.38,52,Dine-in,1,15,12,96,13,202.44,No,Yes,None,Online,No
30151,379,2024-01-07 06:00:00,Sunday,Rainy,22,Steak,Dinner,5.94,43,Delivery,4,30,11,81,11,345.21,No,No,UberEats,Online,No
30152,1797,2024-01-07 07:00:00,Sunday,Rainy,11,Pasta,Dessert,10.31,25,Takeaway,1,9,8,89,12,176.64,No,No,Zomato,Walk-in,No
30153,1514,2024-01-07 08:00:00,Sunday,Sunny,15,Coffee,Beverage,47.74,14,Dine-in,1,25,14,51,18,572.34,No,No,Zomato,Online,No
30154,231,2024-01-07 09:00:00,Sunday,Sunny,33,Dessert,Beverage,45.83,10,Dine-in,5,13,2,65,22,325.97,No,Yes,UberEats,Walk-in,No
30155,1018,2024-01-07 10:00:00,Sunday,Rainy,31,Coffee,Lunch,8.89,49,Delivery,4,16,13,77,14,168.55,No,No,Zomato,Online,No
30156,41,2024-01-07 11:00:00,Sunday,Cloudy,8,Burger,Dessert,18.68,31,Takeaway,2,5,3,98,7,67.79,No,Yes,Swiggy,Walk-in,No
30157,1052,2024-01-07 12:00:00,Sunday,Sunny,17,Dessert,Dinner,47.63,57,Dine-in,3,18,5,75,20,403.64,No,No,UberEats,Walk-in,No
30158,135,2024-01-07 13:00:00,Sunday,Sunny,13,Steak,Dinner,9.4,55,Dine-in,1,30,11,60,19,615.35,No,Yes,Zomato,Walk-in,No
30159,201,2024-01-07 14:00:00,Sunday,Sunny,13,Salad,Dessert,9.26,35,Delivery,4,11,10,72,17,121.3,No,No,UberEats,Walk-in,Yes
30160,1864,2024-01-07 15:00:00,Sunday,Sunny,27,Pizza,Breakfast,8.87,43,Takeaway,3,20,12,79,8,574.16,No,Yes,UberEats,Walk-in,No
30161,780,2024-01-07 16:00:00,Sunday,Snowy,25,Steak,Dinner,48.94,59,Dine-in,2,19,3,80,20,478.23,No,No,Zomato,Online,No
30162,930,2024-01-07 17:00:00,Sunday,Sunny,23,Sushi,Beverage,38.44,30,Takeaway,3,8,2,51,22,137.41,No,No,Swiggy,Walk-in,No
